"sale_date","total_amount"
"2023-01-03 16:36:04.868835",18000.00
"2023-01-03 17:31:47.168787",72000.00
"2023-01-03 22:03:08.238275",6000.00
"2023-01-03 22:08:16.862481",1800000.00
"2023-01-03 22:52:41.942924",900000.00
"2023-01-03 23:12:11.54762",30000.00
"2023-01-03 23:48:12.475293",90000.00
"2023-01-04 01:26:48.602555",5500.00
"2023-01-04 03:46:06.580512",30000.00
"2023-01-04 03:56:52.870506",1280000.00
"2023-01-04 04:56:17.133005",10000.00
"2023-01-04 06:23:03.485427",85000.00
"2023-01-04 06:38:43.857691",425000.00
"2023-01-04 07:14:09.535838",90000.00
"2023-01-04 08:46:20.203056",255000.00
"2023-01-04 09:56:15.000981",5500.00
"2023-01-04 10:25:37.640224",425000.00
"2023-01-04 11:43:08.912064",6000.00
"2023-01-04 13:27:30.013924",340000.00
"2023-01-04 14:35:25.639372",85000.00
"2023-01-04 16:31:00.936431",255000.00
"2023-01-04 16:44:08.306243",10000.00
"2023-01-04 16:57:17.551476",1350000.00
"2023-01-04 17:55:54.413216",170000.00
"2023-01-04 19:03:07.39215",25000.00
"2023-01-04 19:03:55.771876",5500.00
"2023-01-04 19:42:41.450324",960000.00
"2023-01-04 20:20:41.511092",10000.00
"2023-01-04 22:14:59.64868",225000.00
"2023-01-04 22:34:26.573939",85000.00
"2023-01-04 23:48:55.468048",255000.00
"2023-01-04 23:51:23.414424",30000.00
"2023-01-05 00:46:39.276646",12000.00
"2023-01-05 01:29:11.6323",10000.00
"2023-01-05 03:10:42.30933",900000.00
"2023-01-05 04:38:26.321468",640000.00
"2023-01-05 05:56:03.688935",24000.00
"2023-01-05 06:04:17.169885",5500.00
"2023-01-05 09:27:50.593895",450000.00
"2023-01-05 09:29:12.106193",6000.00
"2023-01-05 11:00:30.212856",2500.00
"2023-01-05 13:19:05.341359",180000.00
"2023-01-05 14:19:00.160058",1350000.00
"2023-01-05 14:41:53.297499",1600000.00
"2023-01-05 16:50:52.396316",340000.00
"2023-01-05 18:44:26.597663",1800000.00
"2023-01-05 21:23:57.371388",2250000.00
"2023-01-06 00:20:25.916502",340000.00
"2023-01-06 01:05:36.047051",45000.00
"2023-01-06 01:40:38.848942",1280000.00
"2023-01-06 02:26:43.514373",30000.00
"2023-01-06 05:10:05.316602",90000.00
"2023-01-06 06:09:00.623568",18000.00
"2023-01-06 08:44:56.695484",25000.00
"2023-01-06 08:56:09.822522",24000.00
"2023-01-06 09:58:53.472936",11000.00
"2023-01-06 10:18:19.135808",5500.00
"2023-01-06 10:26:26.868539",18000.00
"2023-01-06 11:00:52.009416",640000.00
"2023-01-06 12:12:07.947081",15000.00
"2023-01-06 12:32:18.369356",15000.00
"2023-01-06 13:02:31.783216",36000.00
"2023-01-06 13:05:12.298425",225000.00
"2023-01-06 13:35:26.660812",7500.00
"2023-01-06 13:49:38.336785",1600000.00
"2023-01-06 14:29:03.0524",18000.00
"2023-01-06 15:29:07.060156",960000.00
"2023-01-06 16:28:14.554369",54000.00
"2023-01-06 17:52:48.677455",12000.00
"2023-01-06 18:53:29.382682",54000.00
"2023-01-06 19:28:11.130235",320000.00
"2023-01-06 20:16:48.214457",5000.00
"2023-01-06 22:13:51.860301",255000.00
"2023-01-06 22:43:50.586463",10000.00
"2023-01-06 22:48:35.271295",1350000.00
"2023-01-06 22:49:47.906892",22000.00
"2023-01-06 23:24:45.072567",36000.00
"2023-01-07 03:55:33.066453",1600000.00
"2023-01-07 05:05:58.781765",90000.00
"2023-01-07 05:27:22.286794",1600000.00
"2023-01-07 06:00:43.49489",425000.00
"2023-01-07 06:06:26.227484",11000.00
"2023-01-07 08:30:21.811493",36000.00
"2023-01-07 09:24:57.573888",640000.00
"2023-01-07 09:29:55.126147",10000.00
"2023-01-07 10:08:52.401356",90000.00
"2023-01-07 11:20:30.5601",180000.00
"2023-01-07 11:27:08.414961",12000.00
"2023-01-07 11:33:02.95822",5500.00
"2023-01-07 11:35:01.609361",5000.00
"2023-01-07 14:47:24.988672",16500.00
"2023-01-07 15:09:10.983914",450000.00
"2023-01-07 15:23:42.890346",2250000.00
"2023-01-07 15:33:18.433457",1800000.00
"2023-01-07 15:56:08.456516",255000.00
"2023-01-07 16:48:12.041073",25000.00
"2023-01-07 16:54:07.070519",135000.00
"2023-01-07 18:47:04.425039",12000.00
"2023-01-07 19:45:37.059776",20000.00
"2023-01-07 22:39:39.324239",640000.00
"2023-01-07 23:33:42.252922",6000.00
"2023-01-08 03:33:13.374178",15000.00
"2023-01-08 05:29:07.888872",10000.00
"2023-01-08 06:10:26.151955",5000.00
"2023-01-08 08:11:56.77146",225000.00
"2023-01-08 08:49:29.977409",54000.00
"2023-01-08 08:56:17.704212",90000.00
"2023-01-08 09:12:23.809806",25000.00
"2023-01-08 11:11:53.955603",1600000.00
"2023-01-08 11:27:53.807211",900000.00
"2023-01-08 12:09:06.102932",10000.00
"2023-01-08 15:08:35.398884",15000.00
"2023-01-08 16:28:26.767915",27500.00
"2023-01-08 17:17:58.501674",22000.00
"2023-01-08 18:13:42.022007",90000.00
"2023-01-08 19:14:11.143376",180000.00
"2023-01-08 20:46:39.589503",5000.00
"2023-01-08 21:40:16.251311",16500.00
"2023-01-08 22:03:04.523652",5000.00
"2023-01-09 00:03:44.853006",170000.00
"2023-01-09 00:44:54.53003",16500.00
"2023-01-09 01:29:24.128537",180000.00
"2023-01-09 03:08:46.160694",15000.00
"2023-01-09 04:13:20.834689",45000.00
"2023-01-09 04:19:24.482463",170000.00
"2023-01-09 04:26:47.08434",2500.00
"2023-01-09 05:57:38.784274",450000.00
"2023-01-09 06:55:49.641224",180000.00
"2023-01-09 07:22:13.728013",18000.00
"2023-01-09 07:27:21.292206",85000.00
"2023-01-09 10:24:52.57304",170000.00
"2023-01-09 12:54:27.347325",85000.00
"2023-01-09 13:20:09.772412",22000.00
"2023-01-09 14:04:13.199853",36000.00
"2023-01-09 14:18:38.18726",24000.00
"2023-01-09 16:28:19.012162",135000.00
"2023-01-09 16:47:07.552483",27500.00
"2023-01-09 17:04:01.913106",72000.00
"2023-01-09 20:35:47.424689",12500.00
"2023-01-09 21:03:14.370926",30000.00
"2023-01-09 21:52:16.978441",900000.00
"2023-01-09 22:03:58.528197",12000.00
"2023-01-09 23:28:43.849421",12000.00
"2023-01-10 00:13:16.586875",85000.00
"2023-01-10 00:31:10.189806",255000.00
"2023-01-10 00:43:04.039438",900000.00
"2023-01-10 01:28:43.866616",180000.00
"2023-01-10 03:51:54.196874",180000.00
"2023-01-10 05:19:26.034949",5000.00
"2023-01-10 05:41:56.891708",1800000.00
"2023-01-10 05:51:57.232362",6000.00
"2023-01-10 06:06:24.684608",90000.00
"2023-01-10 06:14:05.149236",450000.00
"2023-01-10 08:22:17.954309",12000.00
"2023-01-10 12:19:55.505876",450000.00
"2023-01-10 13:03:51.352202",255000.00
"2023-01-10 15:21:00.241458",960000.00
"2023-01-10 16:16:18.990692",640000.00
"2023-01-10 19:26:58.463907",12500.00
"2023-01-10 19:49:56.031561",22000.00
"2023-01-10 22:10:26.598307",960000.00
"2023-01-10 22:24:13.900746",5000.00
"2023-01-11 00:57:35.742484",5500.00
"2023-01-11 01:05:00.210382",12000.00
"2023-01-11 02:48:41.064973",900000.00
"2023-01-11 02:49:00.968855",54000.00
"2023-01-11 05:43:14.14779",135000.00
"2023-01-11 06:18:39.227147",72000.00
"2023-01-11 07:12:58.002729",340000.00
"2023-01-11 08:42:21.865124",135000.00
"2023-01-11 11:15:31.766121",90000.00
"2023-01-11 13:16:30.917551",18000.00
"2023-01-11 15:51:07.666359",16500.00
"2023-01-11 16:16:46.847913",85000.00
"2023-01-11 16:27:58.299917",5000.00
"2023-01-11 16:35:05.20441",170000.00
"2023-01-11 18:27:31.073464",2500.00
"2023-01-11 18:38:05.522953",22000.00
"2023-01-11 19:04:28.194869",960000.00
"2023-01-11 23:47:19.507552",10000.00
"2023-01-11 23:57:41.831945",18000.00
"2023-01-12 00:04:27.788412",1600000.00
"2023-01-12 00:36:55.433421",85000.00
"2023-01-12 00:51:53.666411",1280000.00
"2023-01-12 01:40:31.677883",22000.00
"2023-01-12 02:26:36.828165",2250000.00
"2023-01-12 04:44:55.097534",10000.00
"2023-01-12 05:04:08.993793",180000.00
"2023-01-12 06:00:46.244453",11000.00
"2023-01-12 06:47:21.971338",15000.00
"2023-01-12 10:06:17.757218",2250000.00
"2023-01-12 10:43:10.727209",7500.00
"2023-01-12 11:54:56.965909",2250000.00
"2023-01-12 12:25:47.554834",12000.00
"2023-01-12 12:43:47.06014",12000.00
"2023-01-12 14:40:03.53681",11000.00
"2023-01-12 15:44:10.794541",72000.00
"2023-01-12 17:25:42.364416",18000.00
"2023-01-12 18:38:01.732882",25000.00
"2023-01-12 19:14:26.042159",255000.00
"2023-01-12 19:30:45.760719",7500.00
"2023-01-12 20:28:37.316904",1280000.00
"2023-01-13 02:03:31.910647",225000.00
"2023-01-13 04:56:58.570698",22000.00
"2023-01-13 06:36:37.021176",72000.00
"2023-01-13 07:36:40.188907",72000.00
"2023-01-13 07:59:23.197833",6000.00
"2023-01-13 08:12:23.751579",225000.00
"2023-01-13 09:48:18.722974",11000.00
"2023-01-13 10:19:27.98922",90000.00
"2023-01-13 11:24:29.735559",960000.00
"2023-01-13 11:38:03.479642",12500.00
"2023-01-13 12:54:47.894086",425000.00
"2023-01-13 13:26:24.406799",10000.00
"2023-01-13 15:17:25.226084",1280000.00
"2023-01-13 16:03:03.276904",18000.00
"2023-01-13 16:12:15.784273",2500.00
"2023-01-13 16:49:18.076523",2250000.00
"2023-01-13 16:54:29.945738",18000.00
"2023-01-13 17:49:10.12023",10000.00
"2023-01-13 18:25:26.899573",30000.00
"2023-01-13 19:06:56.569464",22000.00
"2023-01-13 19:15:06.226709",10000.00
"2023-01-13 19:53:29.854834",1800000.00
"2023-01-13 21:52:08.741376",11000.00
"2023-01-13 22:03:39.177913",340000.00
"2023-01-13 22:15:57.31565",450000.00
"2023-01-13 22:27:10.34512",54000.00
"2023-01-14 02:10:41.714149",90000.00
"2023-01-14 02:18:50.705805",640000.00
"2023-01-14 03:33:02.592631",18000.00
"2023-01-14 05:00:09.096301",135000.00
"2023-01-14 06:20:13.467709",85000.00
"2023-01-14 07:03:24.139329",2250000.00
"2023-01-14 07:41:36.76648",640000.00
"2023-01-14 09:06:30.937437",90000.00
"2023-01-14 09:09:52.332241",18000.00
"2023-01-14 10:49:33.268897",45000.00
"2023-01-14 10:50:48.931516",7500.00
"2023-01-14 10:55:52.711887",10000.00
"2023-01-14 11:09:37.060452",18000.00
"2023-01-14 11:22:25.007761",1600000.00
"2023-01-14 11:48:13.962083",340000.00
"2023-01-14 12:15:32.128752",6000.00
"2023-01-14 12:58:06.714116",11000.00
"2023-01-14 14:36:06.207644",960000.00
"2023-01-14 14:45:37.581004",5000.00
"2023-01-14 15:05:32.853973",1600000.00
"2023-01-14 15:34:18.790326",7500.00
"2023-01-14 17:48:11.934072",20000.00
"2023-01-14 17:56:32.927276",90000.00
"2023-01-14 18:59:45.992423",22000.00
"2023-01-14 19:45:19.78698",170000.00
"2023-01-14 20:47:44.638311",225000.00
"2023-01-14 21:01:22.296762",225000.00
"2023-01-14 21:11:23.989546",1600000.00
"2023-01-14 21:12:37.410153",425000.00
"2023-01-15 01:31:01.975777",320000.00
"2023-01-15 01:59:25.348081",12000.00
"2023-01-15 02:24:10.268521",85000.00
"2023-01-15 02:40:06.261084",90000.00
"2023-01-15 03:02:23.906225",180000.00
"2023-01-15 03:21:50.011451",1800000.00
"2023-01-15 05:53:33.688576",5000.00
"2023-01-15 07:23:36.262702",5000.00
"2023-01-15 08:50:24.270839",450000.00
"2023-01-15 10:08:10.460683",20000.00
"2023-01-15 10:20:58.444029",24000.00
"2023-01-15 11:02:39.56766",1350000.00
"2023-01-15 15:27:50.478384",18000.00
"2023-01-15 17:02:41.069662",1280000.00
"2023-01-15 19:24:54.09864",72000.00
"2023-01-15 20:12:40.184169",18000.00
"2023-01-15 22:15:16.40663",27500.00
"2023-01-15 22:41:24.105054",16500.00
"2023-01-15 22:53:41.495011",5500.00
"2023-01-15 23:22:47.340027",450000.00
"2023-01-15 23:25:01.033789",640000.00
"2023-01-16 00:45:58.886438",22000.00
"2023-01-16 00:57:34.380477",36000.00
"2023-01-16 01:10:24.704019",255000.00
"2023-01-16 01:26:49.851677",72000.00
"2023-01-16 06:38:27.208308",5000.00
"2023-01-16 08:05:26.401313",1800000.00
"2023-01-16 10:39:35.672976",960000.00
"2023-01-16 11:12:48.546032",12000.00
"2023-01-16 14:39:27.742057",90000.00
"2023-01-16 16:06:20.032553",450000.00
"2023-01-16 16:21:03.357001",36000.00
"2023-01-16 17:57:08.610976",22000.00
"2023-01-16 18:17:11.184778",10000.00
"2023-01-16 18:19:40.197863",90000.00
"2023-01-16 18:38:27.161761",30000.00
"2023-01-16 19:21:59.789882",6000.00
"2023-01-16 22:22:35.468737",24000.00
"2023-01-16 22:54:43.470915",22000.00
"2023-01-16 23:33:27.751374",320000.00
"2023-01-17 00:26:59.741992",135000.00
"2023-01-17 01:12:46.254579",22000.00
"2023-01-17 02:03:37.062868",225000.00
"2023-01-17 02:25:02.83662",1350000.00
"2023-01-17 02:39:50.528724",225000.00
"2023-01-17 03:18:54.793496",12500.00
"2023-01-17 03:46:57.64818",2250000.00
"2023-01-17 03:55:36.363638",135000.00
"2023-01-17 04:44:52.657556",45000.00
"2023-01-17 05:01:17.190428",6000.00
"2023-01-17 05:32:32.335094",24000.00
"2023-01-17 07:06:06.28357",30000.00
"2023-01-17 07:08:44.993948",18000.00
"2023-01-17 08:02:28.106075",2500.00
"2023-01-17 09:41:28.667886",20000.00
"2023-01-17 10:19:06.480439",85000.00
"2023-01-17 10:21:26.925493",10000.00
"2023-01-17 11:09:47.062092",85000.00
"2023-01-17 12:00:22.597198",2500.00
"2023-01-17 13:06:28.975414",7500.00
"2023-01-17 15:51:49.172878",18000.00
"2023-01-17 16:25:18.433466",180000.00
"2023-01-17 16:38:23.699318",12000.00
"2023-01-17 16:52:00.842919",180000.00
"2023-01-17 17:14:05.713155",135000.00
"2023-01-17 19:30:15.001853",10000.00
"2023-01-17 19:41:27.538668",22000.00
"2023-01-17 21:47:18.630009",135000.00
"2023-01-17 22:50:32.982381",15000.00
"2023-01-18 00:44:31.159674",2250000.00
"2023-01-18 01:05:22.883211",54000.00
"2023-01-18 02:47:48.219312",450000.00
"2023-01-18 04:25:25.540549",45000.00
"2023-01-18 05:40:24.602386",20000.00
"2023-01-18 07:29:50.899517",22000.00
"2023-01-18 07:45:19.875506",27500.00
"2023-01-18 09:09:34.695073",15000.00
"2023-01-18 09:54:20.430017",11000.00
"2023-01-18 10:51:22.937268",640000.00
"2023-01-18 11:05:28.055711",960000.00
"2023-01-18 11:16:12.274865",2500.00
"2023-01-18 12:12:10.604525",18000.00
"2023-01-18 12:29:40.487471",135000.00
"2023-01-18 12:48:39.84712",1350000.00
"2023-01-18 13:01:58.091435",1800000.00
"2023-01-18 14:15:04.531234",45000.00
"2023-01-18 14:41:06.74465",1350000.00
"2023-01-18 17:05:47.615795",10000.00
"2023-01-18 17:13:57.306276",1800000.00
"2023-01-18 21:59:53.368162",255000.00
"2023-01-19 00:04:27.040773",25000.00
"2023-01-19 01:04:37.943522",180000.00
"2023-01-19 01:16:18.479204",12500.00
"2023-01-19 03:23:11.138096",16500.00
"2023-01-19 04:55:18.197903",6000.00
"2023-01-19 05:49:41.18664",640000.00
"2023-01-19 06:28:37.895773",16500.00
"2023-01-19 07:37:52.961848",11000.00
"2023-01-19 08:31:02.876294",20000.00
"2023-01-19 09:47:51.116126",11000.00
"2023-01-19 10:18:38.03627",1800000.00
"2023-01-19 10:58:18.697685",135000.00
"2023-01-19 12:28:04.158273",320000.00
"2023-01-19 13:43:55.356393",12000.00
"2023-01-19 14:10:43.682582",10000.00
"2023-01-19 15:44:29.766199",72000.00
"2023-01-19 16:40:29.122221",22000.00
"2023-01-19 18:17:19.570671",2500.00
"2023-01-19 18:37:06.207497",170000.00
"2023-01-19 19:22:13.321413",960000.00
"2023-01-19 23:40:30.943525",10000.00
"2023-01-20 01:51:21.14436",180000.00
"2023-01-20 04:59:29.056733",640000.00
"2023-01-20 05:37:17.128457",85000.00
"2023-01-20 06:07:46.480016",18000.00
"2023-01-20 06:53:00.704304",425000.00
"2023-01-20 09:18:46.022191",16500.00
"2023-01-20 11:04:23.78454",450000.00
"2023-01-20 12:56:59.93821",18000.00
"2023-01-20 13:28:00.659961",7500.00
"2023-01-20 14:12:46.475702",72000.00
"2023-01-20 15:21:57.273576",1350000.00
"2023-01-20 16:34:47.336135",10000.00
"2023-01-20 19:03:31.467703",900000.00
"2023-01-20 19:10:39.668466",450000.00
"2023-01-20 23:06:39.3597",135000.00
"2023-01-20 23:20:55.885893",16500.00
"2023-01-21 03:10:51.700771",36000.00
"2023-01-21 03:54:47.73325",1600000.00
"2023-01-21 03:55:01.715941",5000.00
"2023-01-21 04:26:51.240791",72000.00
"2023-01-21 05:01:58.127026",1280000.00
"2023-01-21 05:37:56.750231",15000.00
"2023-01-21 06:38:11.94701",22000.00
"2023-01-21 06:53:04.961365",27500.00
"2023-01-21 07:27:35.854719",20000.00
"2023-01-21 08:14:17.65747",7500.00
"2023-01-21 08:29:28.925253",10000.00
"2023-01-21 08:34:03.669421",10000.00
"2023-01-21 09:35:53.84045",18000.00
"2023-01-21 10:20:14.968646",12000.00
"2023-01-21 12:19:49.534144",18000.00
"2023-01-21 14:11:38.780464",960000.00
"2023-01-21 14:38:37.274187",15000.00
"2023-01-21 15:30:50.785135",85000.00
"2023-01-21 17:03:34.368682",5000.00
"2023-01-21 17:09:00.842603",85000.00
"2023-01-21 17:43:56.186234",54000.00
"2023-01-21 17:59:18.281653",225000.00
"2023-01-21 22:50:23.754623",2500.00
"2023-01-21 23:02:10.767252",135000.00
"2023-01-21 23:28:08.968357",1350000.00
"2023-01-21 23:47:16.764301",54000.00
"2023-01-21 23:47:30.91195",11000.00
"2023-01-22 00:14:58.20563",1800000.00
"2023-01-22 00:15:36.194353",320000.00
"2023-01-22 00:21:44.735478",54000.00
"2023-01-22 00:22:05.36802",12000.00
"2023-01-22 00:34:49.488683",960000.00
"2023-01-22 01:01:39.963803",16500.00
"2023-01-22 02:24:33.866242",54000.00
"2023-01-22 02:27:29.816258",6000.00
"2023-01-22 03:34:58.31711",36000.00
"2023-01-22 05:03:23.282351",7500.00
"2023-01-22 06:13:12.946656",340000.00
"2023-01-22 06:27:17.421662",180000.00
"2023-01-22 08:12:59.265109",30000.00
"2023-01-22 08:39:21.643073",225000.00
"2023-01-22 12:47:19.583542",27500.00
"2023-01-22 14:31:03.415468",2500.00
"2023-01-22 15:54:00.687682",15000.00
"2023-01-22 15:59:08.637101",15000.00
"2023-01-22 16:00:31.653557",12500.00
"2023-01-22 16:24:02.618332",22000.00
"2023-01-22 16:41:14.05245",5500.00
"2023-01-22 16:57:47.941426",22000.00
"2023-01-22 17:23:22.316156",1800000.00
"2023-01-22 17:45:21.061021",180000.00
"2023-01-22 17:49:49.040151",85000.00
"2023-01-22 19:04:26.566419",27500.00
"2023-01-22 20:02:47.686156",5000.00
"2023-01-22 21:28:37.797941",425000.00
"2023-01-22 21:41:02.545733",640000.00
"2023-01-22 21:48:05.926545",180000.00
"2023-01-23 01:53:54.787303",16500.00
"2023-01-23 02:30:53.716444",10000.00
"2023-01-23 03:29:35.359426",225000.00
"2023-01-23 03:43:01.110068",425000.00
"2023-01-23 04:04:28.949283",22000.00
"2023-01-23 04:35:33.350012",5000.00
"2023-01-23 05:11:54.509862",135000.00
"2023-01-23 06:05:59.147877",225000.00
"2023-01-23 07:27:20.124597",22000.00
"2023-01-23 07:37:03.160735",1800000.00
"2023-01-23 08:41:35.718607",255000.00
"2023-01-23 08:43:58.887236",425000.00
"2023-01-23 11:36:50.800283",6000.00
"2023-01-23 12:05:57.746881",85000.00
"2023-01-23 12:52:55.758548",340000.00
"2023-01-23 12:58:39.644575",180000.00
"2023-01-23 13:08:59.689504",20000.00
"2023-01-23 15:11:04.1741",18000.00
"2023-01-23 15:44:06.037083",450000.00
"2023-01-23 17:32:30.633477",10000.00
"2023-01-23 18:32:27.626495",15000.00
"2023-01-23 18:51:56.476348",72000.00
"2023-01-23 20:01:38.833776",24000.00
"2023-01-23 22:01:56.944107",25000.00
"2023-01-23 22:43:02.795415",36000.00
"2023-01-24 00:33:30.334655",640000.00
"2023-01-24 01:01:25.518499",10000.00
"2023-01-24 01:29:14.763842",5000.00
"2023-01-24 02:16:31.531431",16500.00
"2023-01-24 03:07:21.054506",5000.00
"2023-01-24 03:49:31.904306",27500.00
"2023-01-24 03:57:29.42322",255000.00
"2023-01-24 04:18:14.918337",640000.00
"2023-01-24 05:46:29.733374",7500.00
"2023-01-24 05:57:08.687948",425000.00
"2023-01-24 06:32:08.030754",10000.00
"2023-01-24 07:17:49.995537",5000.00
"2023-01-24 11:56:34.71915",7500.00
"2023-01-24 12:23:42.140509",85000.00
"2023-01-24 12:49:41.030318",18000.00
"2023-01-24 13:05:38.587287",1350000.00
"2023-01-24 13:52:16.501093",900000.00
"2023-01-24 14:04:22.837908",72000.00
"2023-01-24 14:11:53.753003",15000.00
"2023-01-24 16:04:28.370175",1350000.00
"2023-01-24 18:10:53.311423",960000.00
"2023-01-24 18:25:16.90984",6000.00
"2023-01-24 19:03:04.927501",72000.00
"2023-01-24 19:24:35.813113",54000.00
"2023-01-25 02:27:47.634116",90000.00
"2023-01-25 02:32:27.862458",10000.00
"2023-01-25 02:51:18.115342",20000.00
"2023-01-25 03:06:04.609513",340000.00
"2023-01-25 03:23:55.859404",6000.00
"2023-01-25 03:56:46.054062",5000.00
"2023-01-25 04:51:29.76334",1350000.00
"2023-01-25 04:51:30.686",2250000.00
"2023-01-25 05:00:23.840416",22000.00
"2023-01-25 05:13:21.294693",25000.00
"2023-01-25 05:55:20.051827",12500.00
"2023-01-25 07:24:29.654408",2250000.00
"2023-01-25 07:47:57.288537",12000.00
"2023-01-25 10:02:40.006938",15000.00
"2023-01-25 10:34:46.596787",320000.00
"2023-01-25 11:13:15.427151",90000.00
"2023-01-25 11:36:44.996777",2250000.00
"2023-01-25 13:52:43.466915",36000.00
"2023-01-25 14:12:20.359198",1350000.00
"2023-01-25 15:50:49.352981",25000.00
"2023-01-25 15:53:02.43732",180000.00
"2023-01-25 17:11:50.552852",900000.00
"2023-01-25 17:31:25.457002",640000.00
"2023-01-25 17:53:11.765567",10000.00
"2023-01-25 17:58:47.302162",900000.00
"2023-01-25 20:12:20.303176",340000.00
"2023-01-25 20:56:40.634712",22000.00
"2023-01-26 01:34:56.445111",225000.00
"2023-01-26 02:20:47.176706",1600000.00
"2023-01-26 05:34:04.601759",30000.00
"2023-01-26 05:41:25.723275",36000.00
"2023-01-26 05:47:22.538628",45000.00
"2023-01-26 05:59:29.325203",1600000.00
"2023-01-26 06:52:53.411967",24000.00
"2023-01-26 08:02:56.020768",1800000.00
"2023-01-26 08:04:27.480593",320000.00
"2023-01-26 08:28:15.279318",15000.00
"2023-01-26 08:34:04.317725",255000.00
"2023-01-26 11:31:03.924039",135000.00
"2023-01-26 11:44:31.62533",27500.00
"2023-01-26 12:06:09.756655",320000.00
"2023-01-26 13:21:43.608644",45000.00
"2023-01-26 14:17:00.707424",1600000.00
"2023-01-26 16:05:54.901417",12500.00
"2023-01-26 16:44:38.724732",7500.00
"2023-01-26 17:06:35.224155",900000.00
"2023-01-26 17:24:39.885933",20000.00
"2023-01-26 18:24:59.504126",170000.00
"2023-01-26 19:24:24.928732",27500.00
"2023-01-26 19:41:38.153595",1350000.00
"2023-01-26 19:49:39.943219",135000.00
"2023-01-26 20:24:23.24573",18000.00
"2023-01-26 21:10:00.126882",255000.00
"2023-01-26 21:19:11.552426",170000.00
"2023-01-26 23:13:12.102579",1280000.00
"2023-01-27 01:20:53.837576",640000.00
"2023-01-27 01:55:12.744156",340000.00
"2023-01-27 04:01:29.527999",320000.00
"2023-01-27 04:14:01.472669",170000.00
"2023-01-27 04:28:25.85912",5500.00
"2023-01-27 05:07:53.176346",960000.00
"2023-01-27 06:17:20.649688",320000.00
"2023-01-27 06:21:35.988889",450000.00
"2023-01-27 06:55:28.816513",1800000.00
"2023-01-27 07:10:50.587422",340000.00
"2023-01-27 08:09:15.614134",30000.00
"2023-01-27 09:14:45.719537",20000.00
"2023-01-27 09:22:18.105876",450000.00
"2023-01-27 09:52:01.880863",5500.00
"2023-01-27 10:33:09.043231",5500.00
"2023-01-27 10:53:55.643889",960000.00
"2023-01-27 13:28:00.146766",135000.00
"2023-01-27 14:36:18.152124",30000.00
"2023-01-27 15:08:17.452583",320000.00
"2023-01-27 18:33:57.821869",6000.00
"2023-01-27 18:39:50.200351",16500.00
"2023-01-27 19:25:54.133014",1600000.00
"2023-01-27 21:10:25.891855",900000.00
"2023-01-27 21:33:27.438002",170000.00
"2023-01-28 00:18:43.473132",340000.00
"2023-01-28 00:41:42.40412",18000.00
"2023-01-28 04:03:06.382965",180000.00
"2023-01-28 04:03:52.960553",425000.00
"2023-01-28 05:26:51.856391",320000.00
"2023-01-28 07:46:56.755269",7500.00
"2023-01-28 08:14:18.13781",5000.00
"2023-01-28 09:29:48.739802",1600000.00
